date,全ペア買い平均,USD/JPY買い持ち,テクニカル+割安,複合(金利差固定)
2021-08-31,-0.004160539404294716,0.004889942132942027,0.0008257363420804594,0.0036890700383194292
2021-09-30,-0.004289073661246789,0.018118285315372518,0.016176599999715807,0.02083010300632593
2021-10-29,0.014767374159279933,0.01500857945667411,-0.0066457770660256115,-0.005465221510470056
2021-11-30,-0.019516940815018535,0.0016547277186567122,-0.011315940258598056,-0.019855858138600996
2021-12-31,0.008312603287322506,0.011062903554301284,-0.010373161852589,-0.0006536679044766656
2022-01-31,-0.006532428484736641,0.0017294655226807176,0.00825797378797973,0.009855196010201952
2022-02-28,0.0017963133907660134,0.00280229428577794,-0.00908664173749892,0.0020063575697435816
2022-03-31,0.018674177546704473,0.055682006226156266,0.04005653595248352,0.03543181612008668
2022-04-29,-0.006308943243917853,0.07203678585918794,0.02095070133790733,0.030630118720161435
2022-05-31,0.003861371678340009,-0.02314031655824278,-0.005300855485334506,-0.010348058024719182
2022-06-30,0.00662875518119731,0.06890540419838809,0.007134306980332091,0.03948176149353414
2022-07-29,-0.015338839206707876,-0.0160481537333923,-0.028743097252139044,0.0027999452431032674
2022-08-31,-0.0023150582165340273,0.03226999303575151,-0.0027003865242780645,-0.003339373413090866
2022-09-30,0.00010685325566210935,0.04106424157928368,0.01886288856350904,0.018518320646604285
2022-10-31,0.02238803827690906,0.023409079143789535,-0.002455382393134401,-0.0038649989216411316
2022-11-30,-0.00425476406980656,-0.06134144426653143,-0.015557631627916716,-0.038366417700292546
2022-12-30,-0.002233225560981722,-0.04201228841482352,0.030745878683109667,-0.008485032796974868
2023-01-31,0.004770238108309244,-0.018334861515893586,-0.0037880962303650603,0.00824625544217399
2023-02-28,0.004094244624948717,0.044742811193731136,-0.030118452395083,-0.029736932739308514
2023-03-31,0.007306779804812802,-0.02285846434237393,0.02124943920872539,0.02203818309871994
2023-04-28,0.008161365413364475,0.004511962422422133,0.01936632906171365,0.0151018254340533
2023-05-31,0.005572235228494293,0.04476768214023097,-0.006827878194142582,0.006509294426157072
2023-06-30,0.022796975070986547,0.03568152016791304,0.0004997438289196706,0.020018150905358027
2023-07-31,-0.0016926650205184024,-0.027780102277520258,0.002594125515526143,-0.006749162995156108
2023-08-31,0.009469687571319663,0.037944582792575954,0.0010554218350892948,0.014557590637870637
2023-09-29,-0.012774886026270915,0.02216309908651337,-0.011284225386463084,0.0009596479572092564
2023-10-31,0.000781356593698157,-0.0015134439227747487,0.002107152423854286,8.310185693701476e-05
2023-11-30,0.016567645221693416,-0.013895628571761853,-0.027334074668126724,-0.0219228528664564
2023-12-29,-0.011291667604087152,-0.03814640152057602,0.016572716466309017,-0.01418478636562828
2024-01-31,0.008014656973533507,0.04199258239185499,-0.028786551241543872,-0.025812396818557896
2024-02-29,0.008162555028567364,0.02230457212821535,0.0026135756535213828,0.002400535810131619
2024-03-29,-0.0002324334491696334,0.005203885351660276,-0.005248673413327835,0.006192934134203123
2024-04-30,0.009031217417058934,0.03218431617371165,0.01380398098765708,0.03544136031324392
2024-05-31,0.008798343083640692,0.004087974124660221,0.01166982130492289,0.014607811952887363
2024-06-28,0.003579224693840477,0.02379051984080993,0.005066693451964865,0.01838370533136936
2024-07-31,-0.012875502332196143,-0.049892016576545184,-0.0290976607761394,-0.04038688016927899
2024-08-30,-0.0058220855371205246,-0.05095957865072809,0.004262653679487786,0.001582970243574695
2024-09-30,0.0006647000586365359,-0.014542029386306887,0.012538145175798357,0.012550672530670732
2024-10-31,0.011195354147054892,0.07298480661404039,-0.05155074040543476,-0.02461684353688663
2024-11-29,-0.020284486232149145,-0.013250299266651,-0.006913859998099718,-0.011164468908524967
2024-12-31,0.007223507113160832,0.038505293903842386,-0.011681155554517505,-0.0028920274454916177
2025-01-31,-0.009733598930369857,-0.01845915529316078,-0.0029392106623439642,-0.007338861258918389
2025-02-28,-0.00788585577624098,-0.026509320172561357,0.021095322524968818,0.014158810197485104
2025-03-31,0.020750842549050418,-0.00263304956289101,-0.013806585421448414,-0.011375280644461982
2025-04-30,0.00799729462907286,-0.0489116090277707,0.023472061397577477,0.014020583998954663
2025-05-30,0.005087014325910144,0.010400712782419497,-0.0015932953678032453,0.004425001967846971
2025-06-30,0.017534642991608274,0.005132817012871271,0.013964865578635374,0.008985380483480484
2025-07-31,-0.004089289331615254,0.03258439968637106,-0.017561525507754028,-0.008682020520389085
2025-08-29,0.00603057623533324,-0.01632426435438805,-0.007322546305924253,-0.00029859135427003406
2025-09-30,0.005603249560080625,0.012296532578020214,0.009995197575256317,0.008543549466228435
2025-10-31,0.004543637558897373,0.035701017074604824,0.01554269904945623,0.025502845175190015
2025-11-28,0.008408512546180257,0.015490596361884101,-0.006563777823695623,0.00030519454170320915
2025-12-31,0.00886626551779739,0.0008254063471346829,0.011857343576536524,0.017915415953026568
2026-01-30,0.004296802051676096,-0.02078466583979488,0.030193944724959954,0.024474631833030253
2026-02-27,-0.0029606424509185493,0.017608747089077337,0.012657874508029465,0.01437686308719004
2026-03-31,-0.006353265683142784,0.025548797650370103,-0.008618625441031721,-0.008834007745821975
2026-04-30,0.013782595321688717,0.002145896935087599,-0.01585290971388224,-0.0028970245019091607
2026-05-29,-0.004089875138766197,-0.005705947111490528,0.005172072240003526,0.004089418305127518
2026-06-30,-0.004090845800115162,0.016657247483909288,-0.01342202626582989,-0.01133432598741769
2026-07-03,0.0002703500838040607,-0.00361899495523188,0.0009627699434752538,0.004238117697412011
